,text,sentiment,sentimentclass
0,cnni despot dictat go trend senat congress whitehous impeachmentinquiri,0.0,Neutral
1,astrolog america firstev 1868 httpstcobcmifb90pr cosmic echo,0.0,Neutral
2,bryanbehar like analog betatest usa constitut,0.0,Neutral
3,day final becom preced,0.0,Neutral
4,lubonlez anoth day sinc ten thousand californian evacu home disastr wildfir ye,0.0,Neutral
5,support rnc donat share trumppenc 2020,0.0,Neutral
6,repgosar thank back potu recogn wethepeopl vote honor decis httpstcov4uuextbud,0.0,Neutral
7,morphonio tim morrison top white offici rais concern manipul ukrain person advantag tr,0.25,Positive
8,deetwoc let republican hang want cross parti die keep march,0.0,Neutral
9,dkthomp signatur legisl achiev corporatetaxcut sign 2017or trumptaxscam httpstcohhve9r6p6x,0.0,Neutral
10,goplead republican weak weak parti laid long ago obama bit sad httpstcouxp1ixqpa,-0.325,Negative
11,wapodeathnotic albaghdadi stage baghdadi bagdadi anon donaldjtrumpjr creepyjoebiden win httpstco48q3e2z2f8,0.8,Positive
12,your wife sir gtconway3d kellyannepol uspoli ukrain impeachmentvot httpstcobwv9fo2mbm,0.0,Neutral
13,white offici ramp new tax cut talk seek sharp contrast 2020 wapo httpstcoh4q4ih2o7c,0.0037878787878787845,Positive
14,letsbefrank charliekirk11 never order ask investig 2016 interfer hillari ask investig opp,0.0,Neutral
15,queen66snow countri cant wait 2020elect decid need remov offic h,0.0,Neutral
16,republican see describ lot 1998 httpstcomjmijamfev,0.0,Neutral
17,outrais kamalaharri california wed oct 23 2019 daniel greenfield share facebook128kshar httpstconbjiozpl5o,0.0,Neutral
18,rudygiuliani need appl geniu help unlock iphon name cybersecur advis call httpstcor5koi2ne3u,0.0,Neutral
19,anadoluag divid formal inquiri 232196 set rule futur proceed,0.0,Neutral
20,potu thursdaythought thursdaymotiv whitehous plea cleanup chang donaldtrump httpstcov4j3bkenm6,0.0,Neutral
21,wethepeoplemajor vote 16will decid 2020 least know en httpstcobt3lyjof7m,-0.3,Negative
22,tast hate flesh noth el hate gop thedemocrat httpstcowl99pazeyn,-0.8,Negative
23,doggintrump believ absurd commit atroc trumpbetrayedthekurd republican impeachdonaldtrumpnow,-0.5,Negative
24,go amaz oath lie everyth basiclli catch lie httpstcobw5tkyy2li,0.0,Neutral
25,tri bribe wouldnt briber what gop supportragainst ongo ab httpstcozeyetqjzbq,0.0,Neutral
26,real top help bottom save money femtop outpourlgbtq outpourtransl outpour phillylgbtq philli httpstcoutz2bpbdmk,0.75,Positive
27,got wish secreci thing go public your right nixon httpstco2sgaucbbq4,0.14285714285714285,Positive
28,dream last night want boyfriend tri desper avoid terrifi nightmar,0.0,Neutral
29,dxoconnor chanc congressman last name mccarthi would vehement defend presid bid,0.0,Neutral
30,impeachmentinquiri go make even unhing crazi shit go next,-0.1,Negative
31,giuliani associ tie ukrain scandal want better bail condit oct 31 1249 pm et httpstco0uyu553s2a,0.5,Positive
32,andyostroy waitar gaslight tweet fake photo make look like real ceremoni,-0.15,Negative
33,chanc african presid impeach like cobbo3 rnagila fauzkhalid ieakwam,0.0,Neutral
34,mediait nicolledwallac surpris extort goto game,-0.4,Negative
35,inquiri watch httpstcob0fatmbxt4 uspolit potu democraci,0.0,Neutral
36,potu senatemajldr thursdaythought thursdaymotiv whitehous plea cleanup httpstcoesqq7bt15k,0.0,Neutral
37,mayawiley pelosi right need 2 impeach noth celebr 1 republican vote ignor rule eviden,0.2857142857142857,Positive
38,kenmatthew ken would one exampl mainstream medium cover scandal involv de httpstcorfbbjslden,0.0,Neutral
39,occur halloween drew familiar tweet greatest witch hunt american httpstcoqy7cu0tpbn,0.4583333333333333,Positive
40,poor babi narcissist mind everyth fine anybodi say otherwis httpstco4oh8mbl0mb,0.008333333333333331,Positive
41,continu commit briberi impeachandremovetrump impeachmentiscom gop liar traitor thiev httpstcogh8anprj28,0.0,Neutral
42,resist4lyf adamparkhomenko damn crimin godit insidi,0.0,Neutral
43,thecrewsdad stop lie your tri discredit make agruement seem valid ive boycot joe httpstcortaeia0l6p,0.0,Neutral
44,noobstruct day 40 uniti ride 135 fb 4 r james7303 allen4trump2020 sissy4trump tessy4trump4rd2 jamesjdauto n,0.0,Neutral
45,also rapist jefferson impeach httpstcoixtdcjvw4w,0.0,Neutral
46,let sum despit evid illeg misconduct corruptgop still support httpstcoze9dwfm487,0.0,Neutral
47,fladem barg secur brief disregard subpoena republican proven invest,0.0,Neutral
48,neverwasabot arnoldpeterso13 true howev still outrag theyr deni due process railroad,0.11249999999999999,Positive
49,shelaghfogarti well well well farag borisgetsament lbc httpstconzk9ly5e04,0.0,Neutral
50,huh look like jackass think costum shop command crap toilet b httpstco3ciad7gzxk,-0.4444444444444445,Negative
51,lubonlez ok jack handl tweet replet polit advertis behalf gop,0.5,Positive
52,alquraishi isi gentleman httpstcopgak2w7xfx,0.0,Neutral
53,go play golf duchebag still theyll lock lockhimup,0.0,Neutral
54,ntenzer abrupt withdraw order forc pentagon speed plan riski raid abil control troo,-0.125,Negative
55,current circumst still 85 gop support man say mani danger httpstcooisshxzcqv,0.0,Neutral
56,texarkanafantom wapodeathnotic albaghdadi stage baghdadi bagdadi anon donaldjtrumpjr creepyjoebiden win draintheswamp,0.8,Positive
57,conservamomusa espionag jim_jordan ask colonel vindman share readout potu call withrepadamschiff shut,0.0,Neutral
58,nanci pelosi defend inquiri say sworn duti congress httpstcotc6utnegzi httpstcohk1hsb4jvx,0.0,Neutral
59,kellyannepol one expect extort ukrain bebest,0.0,Neutral
60,navy26vet joeborellinyc erinmdurkin maggienyt real advoc courtroom mop floor lawyer abstain lipservic,0.2,Positive
61,etanthomas36 attempt bounc back boo bird shower worldseri appear game 7 campaig,-0.2,Negative
62,sirhublif gelicmonkey think go let sham play know k httpstcoaotogy03ag,-0.2,Negative
63,andyostroy let get straight your shitstorm medium deep st,0.1,Positive
64,ipompeul american malinoi sheepdog nice town belgium idiot conan baghdadi httpstco,-0.0666666666666667,Negative
65,kanyewest god noth tax break poor suffer man karma bitch,-0.4,Negative
66,dem lie abound lie schiff star wit alexand vindman tie ukrainian arm dealer ukrainian oil httpstcopq8ghzjrcl,0.0,Neutral
67,rudi giuliani oneman wreck crew httpstcougftqhwqy5 isi benladen trumpthekidswerecri httpstcog4llim6eri,0.0,Neutral
68,wast time dog potu tweet fake photo hero dog get medal httpstcofcqocrcqi,-0.5,Negative
69,thejohnfemia 2 billionair alreadi bought sold congress mean absolut noth bullshitimpeach,-0.3125,Negative
70,uschina work new site sign phase 1 trade agreement 60 total deal tba soon presi httpstco9zzt0ruco7,0.06818181818181818,Positive
71,vivianleal123 dogpollen inhealthpolici side american taxpay fleec med cost,0.0,Neutral
72,barg secur brief disregard subpoena republican proven httpstcotqjlimoqra,0.0,Neutral
73,statement press secretari pelosi pelosimeltdown pelosiimpeachmentfarc httpstco9nqa57lnld,0.0,Neutral
74,englishalwaght tweet fake photo hero dog get medal httpstco1ed9bk5ui httpstco2r2pypbeo1,-0.5,Negative
75,hope houseofrepres impeachtrump acquit senat httpstcoxwcsr4ciu,0.0,Neutral
76,ye never go happen know huge armi httpstcoxcrabznbj2,0.4000000000000001,Positive
77,realli joke babi httpstcoslinvzpqx6,0.0,Neutral
78,saskamar america honeybadg danscavino gqforb thelastrefuge2 makeamericagreatagain httpstco,0.0,Neutral
79,stonekeeper3 magaloveretirednikitamso true other block hadnt initi itonc awarethey took,0.11249999999999999,Positive
80,joefaz reckless illeg open public land oil compani without consid human environment c,0.0,Neutral
81,hoax real feebl attempt use thedemocrat scapego httpstcoud3h2th6xq,0.2,Positive
82,deadder dont condon alter work way macjbbi sent privat dm thought pretti good clea,0.7,Positive
83,ein_new ugli christma sweater go everywher year christma christmas2019 christmasiscom impeac,0.0,Neutral
84,world get rare view narcissist mind fascin babi batshitcrazypotu httpstconfxjucz4pp,0.3,Positive
85,one want notic includ fundrais repgosar sale shame httpstcoblmijrl5wf,0.0,Neutral
86,mightybusterbro everyth havent heard lemon hateon kayn explos must watch video kaynewest donlemo,0.0,Neutral
87,there noth phone script impeach minor leader mccarthi httpstcodogpkkvkmk,-0.05,Negative
88,100 vote republican repres major victori 100 agr httpstcojpn6cixsmf,0.0625,Positive
89,ap american demand congress fix america problem done sinc gain h httpstco9f7smaejfq,0.0,Neutral
90,steve scalis almost die wacko leftist influenc wacko push httpstco41wvirjyrq,-0.05,Negative
91,intern summit xi plan sign trade deal suddenli cancel httpstcojqvowwdanr,0.0,Neutral
92,process start roll major vote resolut regard,0.0625,Positive
93,outerspacemanii margaretcox2299 capatosta122 joemanchin westvirginian favor ye need better retir benef,0.5,Positive
94,the_hindu formalis process landmark,0.0,Neutral
95,iahr color coordin crew httpstco7amleufbba benladen trumpthekidswerecri idlib bidladen httpstcos9idgcdvfc,0.0,Neutral
96,white cybersecur advis rudygiuliani forgot iphon password went appl store httpstcoapaue9hhxm,0.0,Neutral
97,dogpollen inhealthpolici side american taxpay fleec med cost httpstcodgjsehopu3,0.0,Neutral
98,spineless gop find someth someon el cri push fals blame instead hold httpstcogdtok2eeni,0.0,Neutral
99,zaharako run rampant crimin enterpris sure isnt cheap ukrain wedid corrupt gop corruptgop impea,0.13333333333333333,Positive
100,stwuk nation demonstr nato httpstcozzkdv6mxwz httpstcoes0ydkmpx5,0.0,Neutral
101,vabvox way vote,0.0,Neutral
102,pollsofpolit think worri plea retweet spread poll thank everi,0.0,Neutral
103,isil propaganda arm amaq news agenc confirm baghdadi death 31 octob announc abu ibrahim alhash httpstcoxfrddmo6p4,-0.1,Negative
104,joerav get extrem graphic describ death abubakralbaghdadi colbertlateshow stephenathom potu reveal,0.0,Neutral
105,rig rudeillmanneredgross way clewandowski_ agbarr spoke congress wit deplor httpstcogcavr1cf3n,0.0,Neutral
106,watchdog rais red flag administr steel aluminium tariff exempt process httpstcowzmbeaxjkb,0.0,Neutral
107,presscoreca what trumpukrain scandal russia nord stream 2 natur ga pipelin eu bypass ukrain ukrain stan,0.0,Neutral
108,repli ivanka experi hath shown even best form govern entrust httpstcomgtvlyjr3f,1.0,Positive
109,goplead sinc welcom interfer elect moscowmitchtraitor block httpstcou2wucrlmcb,0.8,Positive
110,johnkingcnn ye call long time bcz deserv long time,-0.05,Negative
111,obama2014europ watch live presid present medalofhonor httpstco8imi9iyoo8,0.06818181818181818,Positive
112,donald steal democraci american use path dispos tur httpstco7pany1mdzj,0.0,Neutral
113,ryanjen52306022 rep michael waltz warn consequ betray syrian kurd allow condit b,0.0,Neutral
114,potu news slam witch hunt news httpstcomufqtk2ezg,0.0,Neutral
115,kevinmccarthi think kevin read major leader colleagu 2016 think httpstcojkajvpobqd,0.0625,Positive
116,noobstruct day 43 uniti ride twgrp trump2020 147 fb 4 r jamesjdauto americanfirst20 michaelpoppo0 merlins_g,0.0,Neutral
117,everi american get chanc see everi wit committe depos httpstcoronxekiqjo,0.0,Neutral
118,andyostroy theonion donaldtrumpjr wish name hunterbiden could go abroad make million father pre,0.0,Neutral
119,angelabelcamino today brought world number one traitor justic sick httpstcozn0c3ukzcg,-0.7142857142857143,Negative
120,vote formalis inquiri repres pas resolut fo httpstcofk1v9qnzk0,0.0,Neutral
121,thursdaythought thursdaymorn repandybiggsaz individu russiancollus hoax come httpstcovxcknkoyuo,0.0,Neutral
122,democtat march cliff oblivion latest process httpstco53tdru6rhl,0.5,Positive
123,inquiri weve learn far httpstcoqtbyzftje3,0.1,Positive
124,interest look like speakerpelosi donothingdem care impeachmentinquiri httpstcobdw5yvm26c,0.0,Neutral
125,goplead two join housegop vote sham thank god dam break expect httpstcobsix9uoygm,-0.2,Negative
126,sotomakealongstoryshort lone republican men boy prefer favorit pumpkin carv stencil httpstcotgm3xxsha0,0.0,Neutral
127,poisonedmarin tinmp721 jjsmokkieboy57 make easier split half four page per day im sure even support,0.16666666666666669,Positive
128,impeachmentinquiri worldserieschamp join nba warriorsst wnba washmyst other champi httpstcorkugrmmagt,-0.125,Negative
129,zaharako evolv gop talk point quid pro quo kid fight corrupt quid pro,-0.5,Negative
130,bjork55 kentucki coal mine museum harlan counti switch solar power httpstcosim1omgb1f coal ironi climatechang,0.0,Neutral
